MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
367763340,2017-01-01T00:00:13,46.54497,-124.25728,5.3,0.4,511.0,,,,,under way using engine,,,,
367608090,2017-01-01T00:00:49,47.62135,-122.51916,0.0,146.7,511.0,,,,,,,,,
316001476,2017-01-01T00:01:17,48.65198,-123.44736,0.0,46.6,511.0,,,,,under way using engine,,,1.4,51
357247000,2017-01-01T00:01:04,46.83289,-124.27175,14.7,-175.8,240.0,,,,,under way using engine,,,9.1,70
357247000,2017-01-01T00:02:05,46.83051,-124.27637,14.9,-176.8,239.0,,,,,under way using engine,,,9.1,70
311000111,2017-01-01T00:01:15,37.76667,-122.66867,10.0,-146.6,249.0,,,,,under way using engine,,,17.0,
367763340,2017-01-01T00:01:14,46.54658,-124.25707,5.7,-59.7,511.0,,,,,under way using engine,,,,
373415000,2017-01-01T00:01:43,49.28893,-123.07929,0.1,46.7,180.0,,,,,moored,,,10.1,79
367653630,2017-01-01T00:02:16,46.15340,-123.37720,0.3,-146.5,511.0,,,,,under way using engine,,,,
367154100,2017-01-01T00:00:15,46.74264,-124.93125,6.8,6.0,352.0,,,,,undefined,,,,
367763340,2017-01-01T00:02:24,46.54839,-124.25685,5.2,12.3,511.0,,,,,under way using engine,,,,
357247000,2017-01-01T00:03:06,46.82764,-124.28051,14.8,-193.9,214.0,,,,,under way using engine,,,9.1,70
366736360,2017-01-01T00:03:17,48.51343,-122.91623,0.0,146.6,511.0,,,,,under way using engine,,,,30
367763340,2017-01-01T00:03:44,46.55053,-124.25648,5.4,-50.4,511.0,,,,,under way using engine,,,,
367763340,2017-01-01T00:04:54,46.55243,-124.25619,5.9,18.7,511.0,,,,,under way using engine,,,,
357247000,2017-01-01T00:04:07,46.82374,-124.28269,15.3,191.7,187.0,,,,,under way using engine,,,9.1,70
357247000,2017-01-01T00:05:11,46.81918,-124.28340,15.9,185.2,185.0,,,,,under way using engine,,,9.1,70
316004100,2017-01-01T00:05:17,48.93306,-125.14530,3.3,46.8,49.0,,,,,under way using engine,,,5.8,
367763340,2017-01-01T00:06:04,46.55424,-124.25588,6.3,8.9,511.0,,,,,under way using engine,,,,
367154100,2017-01-01T00:01:25,46.74476,-124.93114,6.5,5.4,355.0,,,,,undefined,,,,
367154100,2017-01-01T00:02:27,46.74664,-124.93097,6.7,-56.3,350.0,,,,,undefined,,,,
367565170,2017-01-01T00:07:52,37.80931,-122.41517,0.0,146.8,131.0,,,,,under way using engine,,,,
367763340,2017-01-01T00:07:05,46.55568,-124.25564,6.6,5.2,511.0,,,,,under way using engine,,,,
367154100,2017-01-01T00:03:28,46.74873,-124.93063,7.3,-50.9,347.0,,,,,undefined,,,,
367763340,2017-01-01T00:08:06,46.55729,-124.25532,5.6,14.5,511.0,,,,,under way using engine,,,,
538006378,2017-01-01T00:07:47,45.66666,-122.76641,0.1,46.5,161.0,,,,,at anchor,,,,
256219000,2017-01-01T00:08:29,49.31173,-123.12483,0.1,46.7,301.0,,,,,moored,,,10.5,
367384610,2017-01-01T00:04:16,37.75283,-122.34525,0.4,146.8,214.0,,,,,under way using engine,,,5.2,52
367154100,2017-01-01T00:04:34,46.75102,-124.93062,7.6,0.9,356.0,,,,,undefined,,,,
