Date Time, Prediction
2017-08-22 00:00,8.246
2017-08-22 01:00,8.598
2017-08-22 02:00,8.036
2017-08-22 03:00,6.789
2017-08-22 04:00,5.413
2017-08-22 05:00,4.521
2017-08-22 06:00,4.372
2017-08-22 07:00,4.785
2017-08-22 08:00,5.475
2017-08-22 09:00,6.302
2017-08-22 10:00,7.153
2017-08-22 11:00,7.753
2017-08-22 12:00,7.754
2017-08-22 13:00,6.946
2017-08-22 14:00,5.336
2017-08-22 15:00,3.179
2017-08-22 16:00,1.014
2017-08-22 17:00,-0.489
2017-08-22 18:00,-0.922
2017-08-22 19:00,-0.376
2017-08-22 20:00,0.798
2017-08-22 21:00,2.362
2017-08-22 22:00,4.207
2017-08-22 23:00,6.110
2017-08-23 00:00,7.673
2017-08-23 01:00,8.519
2017-08-23 02:00,8.451
2017-08-23 03:00,7.508
2017-08-23 04:00,6.026
2017-08-23 05:00,4.612
2017-08-23 06:00,3.831
2017-08-23 07:00,3.828
2017-08-23 08:00,4.353
2017-08-23 09:00,5.128
2017-08-23 10:00,6.037
2017-08-23 11:00,6.941
2017-08-23 12:00,7.535
2017-08-23 13:00,7.485
2017-08-23 14:00,6.631
2017-08-23 15:00,5.042
2017-08-23 16:00,3.024
2017-08-23 17:00,1.132
2017-08-23 18:00,-0.021
2017-08-23 19:00,-0.144
2017-08-23 20:00,0.591
2017-08-23 21:00,1.842
2017-08-23 22:00,3.415
2017-08-23 23:00,5.191
2017-08-24 00:00,6.898
2017-08-24 01:00,8.120
2017-08-24 02:00,8.534
2017-08-24 03:00,8.040
2017-08-24 04:00,6.782
2017-08-24 05:00,5.171
2017-08-24 06:00,3.818
2017-08-24 07:00,3.196
2017-08-24 08:00,3.337
2017-08-24 09:00,3.951
2017-08-24 10:00,4.789
2017-08-24 11:00,5.750
2017-08-24 12:00,6.671
2017-08-24 13:00,7.230
2017-08-24 14:00,7.130
2017-08-24 15:00,6.283
2017-08-24 16:00,4.814
2017-08-24 17:00,3.051
2017-08-24 18:00,1.520
2017-08-24 19:00,0.738
2017-08-24 20:00,0.884
2017-08-24 21:00,1.735
2017-08-24 22:00,2.984
2017-08-24 23:00,4.483
2017-08-25 00:00,6.096
2017-08-25 01:00,7.505
2017-08-25 02:00,8.312
2017-08-25 03:00,8.279
2017-08-25 04:00,7.417
2017-08-25 05:00,5.949
2017-08-25 06:00,4.323
2017-08-25 07:00,3.104
2017-08-25 08:00,2.657
2017-08-25 09:00,2.920
2017-08-25 10:00,3.592
2017-08-25 11:00,4.466
2017-08-25 12:00,5.453
2017-08-25 13:00,6.362
2017-08-25 14:00,6.873
2017-08-25 15:00,6.753
2017-08-25 16:00,5.989
2017-08-25 17:00,4.739
2017-08-25 18:00,3.314
2017-08-25 19:00,2.170
2017-08-25 20:00,1.723
2017-08-25 21:00,2.053
2017-08-25 22:00,2.925
2017-08-25 23:00,4.091
2017-08-26 00:00,5.438
2017-08-26 01:00,6.806
2017-08-26 02:00,7.851
2017-08-26 03:00,8.224
2017-08-26 04:00,7.793
2017-08-26 05:00,6.664
2017-08-26 06:00,5.108
2017-08-26 07:00,3.561
2017-08-26 08:00,2.516
2017-08-26 09:00,2.232
2017-08-26 10:00,2.582
2017-08-26 11:00,3.282
2017-08-26 12:00,4.170
2017-08-26 13:00,5.161
2017-08-26 14:00,6.040
2017-08-26 15:00,6.515
2017-08-26 16:00,6.429
2017-08-26 17:00,5.829
2017-08-26 18:00,4.871
2017-08-26 19:00,3.811
2017-08-26 20:00,3.022
2017-08-26 21:00,2.820
2017-08-26 22:00,3.228
2017-08-26 23:00,4.030
2017-08-27 00:00,5.043
2017-08-27 01:00,6.179
2017-08-27 02:00,7.250
2017-08-27 03:00,7.911
2017-08-27 04:00,7.888
2017-08-27 05:00,7.157
2017-08-27 06:00,5.886
2017-08-27 07:00,4.349
2017-08-27 08:00,2.940
2017-08-27 09:00,2.072
2017-08-27 10:00,1.916
2017-08-27 11:00,2.315
2017-08-27 12:00,3.020
2017-08-27 13:00,3.908
2017-08-27 14:00,4.888
2017-08-27 15:00,5.738
2017-08-27 16:00,6.210
2017-08-27 17:00,6.222
2017-08-27 18:00,5.852
2017-08-27 19:00,5.214
2017-08-27 20:00,4.488
2017-08-27 21:00,3.967
2017-08-27 22:00,3.897
2017-08-27 23:00,4.279
2017-08-28 00:00,4.939
2017-08-28 01:00,5.753
2017-08-28 02:00,6.648
2017-08-28 03:00,7.412
2017-08-28 04:00,7.723
2017-08-28 05:00,7.393
2017-08-28 06:00,6.483
2017-08-28 07:00,5.184
2017-08-28 08:00,3.736
2017-08-28 09:00,2.478
2017-08-28 10:00,1.757
2017-08-28 11:00,1.687
2017-08-28 12:00,2.102
2017-08-28 13:00,2.796
2017-08-28 14:00,3.678
2017-08-28 15:00,4.649
2017-08-28 16:00,5.491
2017-08-28 17:00,6.008
2017-08-28 18:00,6.178
2017-08-28 19:00,6.067
2017-08-28 20:00,5.720
2017-08-28 21:00,5.242
2017-08-28 22:00,4.871
2017-08-28 23:00,4.822
2017-08-29 00:00,5.100
2017-08-29 01:00,5.579
2017-08-29 02:00,6.187
2017-08-29 03:00,6.848
2017-08-29 04:00,7.341
2017-08-29 05:00,7.380
2017-08-29 06:00,6.858
2017-08-29 07:00,5.885
2017-08-29 08:00,4.631
2017-08-29 09:00,3.288
2017-08-29 10:00,2.153
2017-08-29 11:00,1.531
2017-08-29 12:00,1.504
2017-08-29 13:00,1.915
2017-08-29 14:00,2.598
2017-08-29 15:00,3.483
2017-08-29 16:00,4.464
2017-08-29 17:00,5.337
2017-08-29 18:00,5.953
2017-08-29 19:00,6.314
2017-08-29 20:00,6.440
2017-08-29 21:00,6.298
2017-08-29 22:00,5.945
2017-08-29 23:00,5.605
2017-08-30 00:00,5.493
2017-08-30 01:00,5.630
2017-08-30 02:00,5.934
2017-08-30 03:00,6.364
2017-08-30 04:00,6.841
2017-08-30 05:00,7.135
2017-08-30 06:00,7.004
2017-08-30 07:00,6.400
2017-08-30 08:00,5.439
2017-08-30 09:00,4.246
2017-08-30 10:00,2.974
2017-08-30 11:00,1.905
2017-08-30 12:00,1.332
2017-08-30 13:00,1.324
2017-08-30 14:00,1.733
2017-08-30 15:00,2.424
2017-08-30 16:00,3.341
2017-08-30 17:00,4.371
2017-08-30 18:00,5.321
2017-08-30 19:00,6.071
2017-08-30 20:00,6.611
2017-08-30 21:00,6.894
2017-08-30 22:00,6.830
2017-08-30 23:00,6.472
2017-08-31 00:00,6.071
2017-08-31 01:00,5.858
2017-08-31 02:00,5.867
2017-08-31 03:00,6.043
2017-08-31 04:00,6.360
2017-08-31 05:00,6.727
2017-08-31 06:00,6.913
2017-08-31 07:00,6.710
2017-08-31 08:00,6.094
2017-08-31 09:00,5.158
2017-08-31 10:00,3.984
2017-08-31 11:00,2.715
2017-08-31 12:00,1.656
2017-08-31 13:00,1.107
2017-08-31 14:00,1.121
2017-08-31 15:00,1.558
2017-08-31 16:00,2.300
2017-08-31 17:00,3.296
2017-08-31 18:00,4.421
2017-08-31 19:00,5.484
2017-08-31 20:00,6.364
2017-08-31 21:00,7.013
2017-08-31 22:00,7.326
2017-08-31 23:00,7.197
2017-09-01 00:00,6.728
2017-09-01 01:00,6.223
2017-09-01 02:00,5.925
2017-09-01 03:00,5.864
2017-09-01 04:00,5.990
2017-09-01 05:00,6.277
2017-09-01 06:00,6.618
2017-09-01 07:00,6.777
2017-09-01 08:00,6.559
2017-09-01 09:00,5.942
2017-09-01 10:00,4.986
2017-09-01 11:00,3.751
2017-09-01 12:00,2.418
2017-09-01 13:00,1.343
2017-09-01 14:00,0.831
2017-09-01 15:00,0.911
2017-09-01 16:00,1.429
2017-09-01 17:00,2.279
2017-09-01 18:00,3.406
2017-09-01 19:00,4.662
2017-09-01 20:00,5.837
2017-09-01 21:00,6.791
2017-09-01 22:00,7.430
2017-09-01 23:00,7.622
2017-09-02 00:00,7.303
2017-09-02 01:00,6.666
2017-09-02 02:00,6.075
2017-09-02 03:00,5.758
2017-09-02 04:00,5.714
2017-09-02 05:00,5.878
2017-09-02 06:00,6.215
2017-09-02 07:00,6.597
2017-09-02 08:00,6.773
2017-09-02 09:00,6.546
2017-09-02 10:00,5.883
2017-09-02 11:00,4.823
2017-09-02 12:00,3.451
2017-09-02 13:00,2.023
2017-09-02 14:00,0.955
2017-09-02 15:00,0.538
2017-09-02 16:00,0.751
2017-09-02 17:00,1.418
2017-09-02 18:00,2.433
2017-09-02 19:00,3.725
2017-09-02 20:00,5.114
2017-09-02 21:00,6.354
2017-09-02 22:00,7.272
2017-09-02 23:00,7.751
2017-09-03 00:00,7.681
2017-09-03 01:00,7.096
2017-09-03 02:00,6.301
2017-09-03 03:00,5.694
2017-09-03 04:00,5.452
2017-09-03 05:00,5.514
2017-09-03 06:00,5.793
2017-09-03 07:00,6.238
2017-09-03 08:00,6.694
2017-09-03 09:00,6.885
2017-09-03 10:00,6.607
2017-09-03 11:00,5.820
2017-09-03 12:00,4.577
2017-09-03 13:00,3.031
2017-09-03 14:00,1.536
2017-09-03 15:00,0.548
2017-09-03 16:00,0.312
2017-09-03 17:00,0.733
2017-09-03 18:00,1.602
2017-09-03 19:00,2.815
2017-09-03 20:00,4.274
2017-09-03 21:00,5.750
2017-09-03 22:00,6.955
2017-09-03 23:00,7.696
2017-09-04 00:00,7.868
2017-09-04 01:00,7.441
2017-09-04 02:00,6.581
2017-09-04 03:00,5.697
2017-09-04 04:00,5.174
2017-09-04 05:00,5.100
2017-09-04 06:00,5.339
2017-09-04 07:00,5.781
2017-09-04 08:00,6.358
2017-09-04 09:00,6.881
2017-09-04 10:00,7.049
2017-09-04 11:00,6.654
2017-09-04 12:00,5.671
2017-09-04 13:00,4.208
2017-09-04 14:00,2.515
2017-09-04 15:00,1.037
2017-09-04 16:00,0.235
2017-09-04 17:00,0.265
2017-09-04 18:00,0.943
2017-09-04 19:00,2.037
2017-09-04 20:00,3.440
2017-09-04 21:00,5.020
2017-09-04 22:00,6.490
2017-09-04 23:00,7.527
2017-09-05 00:00,7.947
2017-09-05 01:00,7.704
2017-09-05 02:00,6.889
2017-09-05 03:00,5.811
2017-09-05 04:00,4.942
2017-09-05 05:00,4.604
2017-09-05 06:00,4.766
2017-09-05 07:00,5.218
2017-09-05 08:00,5.837
2017-09-05 09:00,6.538
2017-09-05 10:00,7.097
2017-09-05 11:00,7.189
2017-09-05 12:00,6.619
2017-09-05 13:00,5.411
2017-09-05 14:00,3.754
2017-09-05 15:00,2.001
